Sample_ID,category1,category2,Kingdom,Phylum,Class,Order,value
AA85,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.317353737
AA88,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.152926846
AA89,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.226983608
AA90,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.243198028
AA91,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0
AA94,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.695193245
AA95,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.135149725
AA96,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.230508695
AA98,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.162162162
AA99,water,field water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.379403794
LAA1,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.33736911
LAA10,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.53409379
LAA11,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.220440882
LAA12,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.911020036
LAA13,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.78589969
LAA15,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.166780822
LAA17,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.247346072
LAA18,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.356978905
LAA2,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.325477178
LAA20,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.568094118
LAA22,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.425941014
LAA23,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.14958587
LAA24,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.49326741
LAA26,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.476457749
LAA27,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.968358039
LAA28,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.821766562
LAA29,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.042691196
LAA3,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.73903604
LAA30,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.458739814
LAA31,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.581388412
LAA32,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0
LAA4,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.497885153
LAA5,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.136461044
LAA6,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.827875735
LAA7,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.269538462
LAA8,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.336770704
LAA9,larvae,field larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.245620574
X1,larvae,lab larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.400605245
X10,water,lab water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.088253288
X11,water,lab water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.096967269
X2,larvae,lab larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.462828149
X3,larvae,lab larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.446594326
X4,larvae,lab larvae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.35460706
X8,water,lab water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.156913183
X9,water,lab water,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.14622384
AA100,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA101,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA103,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA106,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA107,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA108,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA109,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA112,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA113,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA62,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA63,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA65,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA66,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA67,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA79,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA82,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA84,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA85,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA88,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA89,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA90,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA91,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA94,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0
AA95,water,field water,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,0.027976247
