ID,Treatment,Day_Pupation
375,Conventionally Reared,14
376,Conventionally Reared,14
377,Conventionally Reared,14
378,Conventionally Reared,14
379,Conventionally Reared,14
380,Conventionally Reared,14
381,Conventionally Reared,14
382,Conventionally Reared,14
383,Conventionally Reared,14
384,Conventionally Reared,14
385,Conventionally Reared,14
386,Conventionally Reared,14
387,Conventionally Reared,14
388,Conventionally Reared,14
389,Conventionally Reared,14
390,Conventionally Reared,14
391,Conventionally Reared,14
392,Conventionally Reared,15
393,Conventionally Reared,15
394,Conventionally Reared,15
395,Conventionally Reared,15
396,Conventionally Reared,15
397,Conventionally Reared,15
398,Conventionally Reared,15
399,Conventionally Reared,15
400,Conventionally Reared,15
401,Conventionally Reared,15
402,Conventionally Reared,15
403,Conventionally Reared,15
404,Conventionally Reared,15
405,Conventionally Reared,15
406,Conventionally Reared,15
407,Conventionally Reared,15
408,Conventionally Reared,15
409,Conventionally Reared,15
410,Conventionally Reared,15
411,Conventionally Reared,15
412,Conventionally Reared,15
413,Conventionally Reared,15
414,Conventionally Reared,15
415,Conventionally Reared,16
416,Conventionally Reared,16
417,Conventionally Reared,16
418,Conventionally Reared,16
419,Conventionally Reared,17
420,Conventionally Reared,17
421,Conventionally Reared,17
422,Conventionally Reared,17
423,Conventionally Reared,17
424,Conventionally Reared,17
425,Conventionally Reared,17
426,Conventionally Reared,17
427,Conventionally Reared,17
428,Conventionally Reared,18
429,Conventionally Reared,18
430,Conventionally Reared,18
431,Conventionally Reared,18
432,Conventionally Reared,18
433,Conventionally Reared,19
434,Conventionally Reared,19
435,Conventionally Reared,19
436,Conventionally Reared,19
437,Conventionally Reared,19
438,Conventionally Reared,20
439,Conventionally Reared,20
440,Conventionally Reared,20
441,Conventionally Reared,21
442,Conventionally Reared,21
443,Conventionally Reared,21
444,Conventionally Reared,21
445,Conventionally Reared,22
452,Conventionally Reared,11
453,Conventionally Reared,12
454,Conventionally Reared,12
455,Conventionally Reared,12
456,Conventionally Reared,12
457,Conventionally Reared,12
458,Conventionally Reared,12
459,Conventionally Reared,12
460,Conventionally Reared,12
461,Conventionally Reared,12
462,Conventionally Reared,12
463,Conventionally Reared,12
464,Conventionally Reared,12
465,Conventionally Reared,12
466,Conventionally Reared,13
467,Conventionally Reared,13
468,Conventionally Reared,13
469,Conventionally Reared,13
470,Conventionally Reared,13
471,Conventionally Reared,13
472,Conventionally Reared,13
473,Conventionally Reared,13
474,Conventionally Reared,13
475,Conventionally Reared,13
476,Conventionally Reared,13
477,Conventionally Reared,13
478,Conventionally Reared,13
479,Conventionally Reared,13
480,Conventionally Reared,13
481,Conventionally Reared,13
482,Conventionally Reared,13
483,Conventionally Reared,13
484,Conventionally Reared,13
485,Conventionally Reared,13
486,Conventionally Reared,13
487,Conventionally Reared,13
488,Conventionally Reared,13
489,Conventionally Reared,13
490,Conventionally Reared,13
491,Conventionally Reared,13
492,Conventionally Reared,13
493,Conventionally Reared,13
494,Conventionally Reared,13
495,Conventionally Reared,13
496,Conventionally Reared,13
497,Conventionally Reared,14
498,Conventionally Reared,14
499,Conventionally Reared,14
500,Conventionally Reared,14
501,Conventionally Reared,14
502,Conventionally Reared,14
503,Conventionally Reared,14
504,Conventionally Reared,14
505,Conventionally Reared,14
506,Conventionally Reared,14
507,Conventionally Reared,14
508,Conventionally Reared,14
509,Conventionally Reared,14
510,Conventionally Reared,14
511,Conventionally Reared,14
512,Conventionally Reared,14
513,Conventionally Reared,14
514,Conventionally Reared,14
515,Conventionally Reared,14
516,Conventionally Reared,14
517,Conventionally Reared,14
518,Conventionally Reared,14
519,Conventionally Reared,14
520,Conventionally Reared,14
521,Conventionally Reared,14
522,Conventionally Reared,14
523,Conventionally Reared,14
524,Conventionally Reared,14
525,Conventionally Reared,14
526,Conventionally Reared,14
